student_id,attendance,internal_marks,assignment_marks,previous_marks,study_hours,performance_score,performance_category
STU001,76.8,54.0,73.1,71.7,7.7,68.1,Medium
STU002,70.9,53.3,50.0,52.4,6.2,56.7,Medium
STU003,86.0,68.8,76.0,68.0,6.3,72.8,Medium
STU004,96.7,80.9,91.4,76.7,6.7,83.6,High
STU005,50.3,53.2,60.8,51.6,5.8,53.2,Medium
STU006,54.7,61.8,73.9,52.5,5.4,58.9,Medium
STU007,92.0,72.8,72.9,82.3,8.6,79.4,High
STU008,81.8,69.2,58.5,65.7,7.2,68.6,Medium
STU009,66.2,54.6,38.1,60.0,5.9,54.7,Medium
STU010,100.0,71.4,80.3,59.6,5.4,75.3,High
STU011,66.9,59.4,60.1,50.0,6.2,58.8,Medium
STU012,72.5,44.7,53.6,48.2,4.9,53.7,Medium
STU013,79.6,51.0,65.6,71.6,8.1,66.8,Medium
STU014,49.4,44.4,25.8,31.8,1.7,36.4,Low
STU015,42.1,39.4,60.3,40.4,4.9,44.6,Low
STU016,67.5,46.4,54.1,39.5,4.7,51.1,Medium
STU017,46.5,58.7,48.2,45.3,3.1,47.6,Low
STU018,68.6,65.2,70.5,68.8,5.2,65.6,Medium
STU019,50.7,57.2,52.9,45.5,3.6,49.7,Low
STU020,50.0,41.5,44.2,45.1,3.8,43.9,Low
STU021,100.0,96.3,71.4,75.5,8.0,85.1,High
STU022,45.5,71.0,61.4,64.6,4.3,57.9,Medium
STU023,74.7,58.9,77.8,75.1,5.4,68.5,Medium
STU024,32.9,48.5,54.2,34.9,5.8,43.0,Low
STU025,55.4,57.8,67.5,47.0,6.6,56.7,Medium
STU026,79.3,72.4,56.8,69.8,6.0,68.2,Medium
STU027,53.1,36.7,36.6,52.5,3.7,43.4,Low
STU028,61.0,70.6,63.6,59.8,6.0,62.6,Medium
STU029,52.3,60.4,52.9,46.4,5.2,52.4,Medium
STU030,70.1,42.0,66.2,51.8,3.7,54.7,Medium
STU031,52.1,42.4,37.2,39.9,4.1,42.5,Low
STU032,92.5,68.7,97.1,78.2,6.0,80.4,High
STU033,67.3,57.7,58.4,50.8,5.8,57.9,Medium
STU034,47.2,51.5,42.8,37.4,4.6,44.5,Low
STU035,98.8,83.1,61.3,69.6,5.9,76.6,High
STU036,58.0,44.1,29.7,42.1,5.4,44.4,Low
STU037,49.4,75.8,70.0,71.9,4.1,63.1,Medium
STU038,44.2,22.5,36.0,22.8,0.7,29.0,Low
STU039,43.6,28.4,31.7,45.8,3.7,36.6,Low
STU040,78.0,62.2,50.8,59.3,6.8,62.7,Medium
STU041,68.4,73.0,66.3,68.3,8.4,69.3,Medium
STU042,68.0,62.1,77.2,65.2,5.0,65.2,Medium
STU043,70.6,41.9,56.2,48.5,6.4,54.4,Medium
STU044,71.9,55.2,42.7,56.3,4.8,55.6,Medium
STU045,36.4,29.6,39.2,37.9,3.0,34.4,Low
STU046,54.6,55.6,48.5,51.1,5.3,51.9,Medium
STU047,56.4,56.7,29.9,53.4,5.4,49.4,Low
STU048,73.8,66.8,72.8,90.4,4.9,71.9,Medium
STU049,89.0,60.5,62.3,58.5,7.6,67.9,Medium
STU050,48.8,27.7,44.1,28.9,4.4,37.4,Low
STU051,58.5,63.9,80.7,58.3,5.0,62.6,Medium
STU052,71.3,62.4,65.3,48.6,5.2,60.5,Medium
STU053,79.7,43.0,49.1,43.8,4.9,53.3,Medium
STU054,85.0,72.3,57.7,75.1,6.5,71.3,Medium
STU055,64.8,69.7,96.2,82.8,6.1,74.5,Medium
STU056,73.9,66.2,72.3,67.4,5.8,67.8,Medium
STU057,69.1,47.8,49.6,40.1,4.1,50.6,Medium
STU058,56.0,47.5,55.9,56.8,6.3,53.7,Medium
STU059,75.6,60.0,66.0,58.9,6.4,64.2,Medium
STU060,87.0,63.6,71.0,76.5,6.3,72.4,Medium
STU061,51.7,69.2,48.8,52.5,5.5,55.1,Medium
STU062,64.1,57.8,52.7,44.7,1.6,51.3,Medium
STU063,20.6,39.5,45.8,52.9,5.1,39.0,Low
STU064,41.7,45.6,40.0,53.3,1.5,41.7,Low
STU065,74.7,70.1,63.8,65.4,6.0,67.0,Medium
STU066,71.6,76.5,78.0,74.8,5.9,72.5,Medium
STU067,82.4,63.9,56.8,59.0,3.6,62.7,Medium
STU068,65.3,79.6,86.2,74.8,8.1,75.2,High
STU069,67.2,60.6,40.7,67.8,5.3,58.1,Medium
STU070,60.2,46.7,61.7,62.8,4.8,55.6,Medium
STU071,86.0,62.7,75.8,62.0,5.8,69.6,Medium
STU072,72.0,62.3,60.7,74.6,8.1,67.4,Medium
STU073,78.2,47.4,56.5,47.8,5.3,56.7,Medium
STU074,86.8,92.1,76.4,75.4,6.0,80.1,High
